condition	phi	preference_first
0	-.707106781186548	1
0	-.707106781186548	0
0	-.333333333333333	0
0	-.333333333333333	0
0	-.707106781186548	1
0	-.333333333333333	0
0	-.707106781186548	1
0	-1	0
0	-.707106781186548	1
0	-.707106781186548	0
0	-.707106781186548	0
0	0	1
0	-.707106781186548	1
0	-.333333333333333	1
0	-.333333333333333	1
0	-.707106781186548	1
0	-.707106781186548	1
0	-.333333333333333	0
0	0	1
0	-.707106781186548	1
0	-.333333333333333	1
0	-.333333333333333	1
0	-1	1
0	-1	0
0	0	1
0	-.707106781186548	0
0	-.707106781186548	1
0	-.707106781186548	0
0	-.333333333333333	1
0	-.707106781186548	0
0	-.333333333333333	0
0	-.707106781186548	0
0	-.707106781186548	0
0	-.707106781186548	1
0	-.707106781186548	1
0	-.707106781186548	0
0	-1	1
0	-.333333333333333	0
0	0	1
0	-.707106781186548	1
0	-.707106781186548	1
0	-.707106781186548	0
0	-.333333333333333	1
0	-.707106781186548	0
0	-.333333333333333	1
0	-.333333333333333	1
0	-.333333333333333	1
0	-.707106781186548	1
0	-.333333333333333	1
0	-.333333333333333	0
0	-.447213595499958	0
0	-.707106781186548	0
0	-1	0
0	-.707106781186548	1
0	-.333333333333333	0
0	-.333333333333333	0
0	-.333333333333333	1
0	-.707106781186548	1
0	0	1
0	-.707106781186548	0
0	-.707106781186548	1
0	-.707106781186548	1
0	-.707106781186548	0
0	-1	0
0	-.707106781186548	1
0	-.707106781186548	0
0	-.707106781186548	1
0	-.707106781186548	0
0	-.707106781186548	0
0	-.707106781186548	0
0	-.333333333333333	1
0	-.707106781186548	1
0	-.707106781186548	1
0	-1	1
0	.447213595499958	1
0	-.707106781186548	0
0	-.333333333333333	1
0	-1	0
0	-.707106781186548	0
0	-1	0
0	-.333333333333333	1
0	0	1
0	-.707106781186548	1
0	-.707106781186548	0
0	-1	0
0	0	1
0	-.707106781186548	0
0	-.333333333333333	1
0	-.333333333333333	1
0	-.707106781186548	0
0	-.333333333333333	0
0	-.333333333333333	1
0	-.707106781186548	1
0	-.333333333333333	1
0	-1	1
0	-.333333333333333	0
0	-.333333333333333	0
0	-.707106781186548	0
0	-.333333333333333	1
0	-.333333333333333	1
0	-.707106781186548	0
0	-.333333333333333	0
0	-.707106781186548	1
0	-1	0
0	-.707106781186548	1
0	-.333333333333333	0
0	-.333333333333333	0
0	-.707106781186548	0
0	-.707106781186548	0
0	-.707106781186548	0
0	-.333333333333333	0
1	.707106781186548	1
1	.447213595499958	1
1	.707106781186548	1
1	.333333333333333	1
1	.707106781186548	1
1	.333333333333333	1
1	.333333333333333	1
1	.707106781186548	1
1	.333333333333333	1
1	.333333333333333	0
1	.707106781186548	0
1	.707106781186548	0
1	.707106781186548	1
1	.447213595499958	0
1	.707106781186548	1
1	.333333333333333	1
1	.333333333333333	1
1	.333333333333333	0
1	.707106781186548	1
1	.333333333333333	0
1	.707106781186548	1
1	0	1
1	.707106781186548	1
1	.333333333333333	1
1	.707106781186548	0
1	.707106781186548	1
1	.707106781186548	1
1	.707106781186548	0
1	.333333333333333	1
1	0	1
1	1	1
1	.707106781186548	1
1	.447213595499958	1
1	1	1
1	.333333333333333	1
1	.333333333333333	0
1	0	0
1	1	1
1	.707106781186548	1
1	.333333333333333	1
1	1	1
1	.707106781186548	1
1	.707106781186548	1
1	.333333333333333	1
1	.333333333333333	1
1	.707106781186548	0
1	1	0
1	.707106781186548	0
1	.707106781186548	1
1	.707106781186548	0
1	1	1
1	.707106781186548	1
1	.333333333333333	1
1	.333333333333333	1
1	.333333333333333	1
1	.333333333333333	0
1	.707106781186548	1
1	.707106781186548	1
1	.707106781186548	1
1	.707106781186548	0
1	.707106781186548	0
1	.707106781186548	1
1	.333333333333333	1
1	.707106781186548	1
1	.333333333333333	1
1	.707106781186548	1
1	.707106781186548	1
1	1	1
1	.333333333333333	1
1	.333333333333333	0
1	1	1
1	.707106781186548	1
1	.707106781186548	1
1	.707106781186548	1
1	1	1
1	.707106781186548	1
1	.707106781186548	1
1	.333333333333333	0
1	.707106781186548	0
1	.707106781186548	0
1	.707106781186548	1
1	1	1
1	1	1
1	1	1
1	.707106781186548	1
1	.333333333333333	1
1	0	1
1	.333333333333333	1
1	.333333333333333	1
1	.707106781186548	0
1	.707106781186548	0
1	.707106781186548	1
1	.707106781186548	0
1	0	0
1	.707106781186548	1
1	.707106781186548	1
1	.707106781186548	1
1	.333333333333333	0
1	0	0
1	.333333333333333	0
1	.707106781186548	1
1	.333333333333333	0
1	.333333333333333	1
1	.707106781186548	1
1	.707106781186548	1
1	.707106781186548	1
1	.333333333333333	0
1	1	1
1	.333333333333333	1
1	.707106781186548	1
1	.707106781186548	0
1	.707106781186548	0
