condition	phi	preference_first	phi_bin
0	.408248290463863	0	1
0	.408248290463863	0	1
0	.408248290463863	1	1
0	.408248290463863	1	1
0	.408248290463863	1	1
0	.25	1	1
0	.25	1	1
0	.25	1	1
0	.25	1	1
0	.25	1	1
0	0	0	 
0	0	0	 
0	0	1	 
0	-.408248290463863	0	-1
0	-.408248290463863	0	-1
0	-.408248290463863	0	-1
0	-.408248290463863	0	-1
0	-.408248290463863	0	-1
0	-.408248290463863	0	-1
0	-.408248290463863	0	-1
0	-.408248290463863	0	-1
0	-.408248290463863	0	-1
0	-.408248290463863	0	-1
0	-.408248290463863	0	-1
0	-.408248290463863	0	-1
0	-.408248290463863	0	-1
0	-.408248290463863	0	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.408248290463863	1	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	0	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-.612372435695795	1	-1
0	-1	0	-1
0	-1	0	-1
0	-1	0	-1
0	-1	0	-1
0	-1	1	-1
0	-1	1	-1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	0	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.612372435695795	1	1
1	.408248290463863	0	1
1	.408248290463863	0	1
1	.408248290463863	0	1
1	.408248290463863	0	1
1	.408248290463863	0	1
1	.408248290463863	0	1
1	.408248290463863	0	1
1	.408248290463863	0	1
1	.408248290463863	0	1
1	.408248290463863	0	1
1	.408248290463863	0	1
1	.408248290463863	0	1
1	.408248290463863	0	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	.408248290463863	1	1
1	0	1	 
1	-.25	0	-1
1	-.25	0	-1
1	-.25	0	-1
1	-.25	0	-1
1	-.25	0	-1
1	-.25	0	-1
1	-.25	1	-1
1	-.25	1	-1
1	-.25	1	-1
1	-.25	1	-1
1	-.25	1	-1
1	-.25	1	-1
1	-.25	1	-1
1	-.408248290463863	0	-1
1	-.408248290463863	0	-1
1	-.408248290463863	1	-1
