Progress,Duration (in seconds),consent,gender,gender_3_TEXT,ethnicity,ethnicity_10_TEXT,age,attention_check_rec,attention_check,tribe_preference,choleric_definition,comments,condition,condition_1-tribe_a-positive_trait_1,condition_1-tribe_a-positive_trait_2,condition_1-tribe_a-positive_trait_3,condition_1-tribe_a-positive_trait_4,condition_1-tribe_a-positive_trait_5,condition_1-tribe_a-positive_trait_6,condition_1-tribe_a-negative_trait_1,condition_1-tribe_a-negative_trait_2,condition_1-tribe_a-negative_trait_3,condition_1-tribe_a-negative_trait_4,condition_1-tribe_a-negative_trait_5,condition_1-tribe_a-negative_trait_6,condition_1-tribe_b-positive_trait_1,condition_1-tribe_b-positive_trait_2,condition_1-tribe_b-positive_trait_3,condition_1-tribe_b-positive_trait_4,condition_1-tribe_b-positive_trait_5,condition_1-tribe_b-positive_trait_6,condition_1-tribe_b-negative_trait_1,condition_1-tribe_b-negative_trait_2,condition_1-tribe_b-negative_trait_3,condition_1-tribe_b-negative_trait_4,condition_1-tribe_b-negative_trait_5,condition_1-tribe_b-negative_trait_6,condition_2-tribe_a-positive_trait_1,condition_2-tribe_a-positive_trait_2,condition_2-tribe_a-positive_trait_3,condition_2-tribe_a-positive_trait_4,condition_2-tribe_a-positive_trait_5,condition_2-tribe_a-positive_trait_6,condition_2-tribe_a-negative_trait_1,condition_2-tribe_a-negative_trait_2,condition_2-tribe_a-negative_trait_3,condition_2-tribe_a-negative_trait_4,condition_2-tribe_a-negative_trait_5,condition_2-tribe_a-negative_trait_6,condition_2-tribe_b-positive_trait_1,condition_2-tribe_b-positive_trait_2,condition_2-tribe_b-positive_trait_3,condition_2-tribe_b-positive_trait_4,condition_2-tribe_b-positive_trait_5,condition_2-tribe_b-positive_trait_6,condition_2-tribe_b-negative_trait_1,condition_2-tribe_b-negative_trait_2,condition_2-tribe_b-negative_trait_3,condition_2-tribe_b-negative_trait_4,condition_2-tribe_b-negative_trait_5,condition_2-tribe_b-negative_trait_6,condition_3-tribe_b-positive_trait_1,condition_3-tribe_b-positive_trait_2,condition_3-tribe_b-positive_trait_3,condition_3-tribe_b-positive_trait_4,condition_3-tribe_b-positive_trait_5,condition_3-tribe_b-positive_trait_6,condition_3-tribe_b-negative_trait_1,condition_3-tribe_b-negative_trait_2,condition_3-tribe_b-negative_trait_3,condition_3-tribe_b-negative_trait_4,condition_3-tribe_b-negative_trait_5,condition_3-tribe_b-negative_trait_6,condition_3-tribe_a-positive_trait_1,condition_3-tribe_a-positive_trait_2,condition_3-tribe_a-positive_trait_3,condition_3-tribe_a-positive_trait_4,condition_3-tribe_a-positive_trait_5,condition_3-tribe_a-positive_trait_6,condition_3-tribe_a-negative_trait_1,condition_3-tribe_a-negative_trait_2,condition_3-tribe_a-negative_trait_3,condition_3-tribe_a-negative_trait_4,condition_3-tribe_a-negative_trait_5,condition_3-tribe_a-negative_trait_6,condition_4-tribe_b-positive_trait_1,condition_4-tribe_b-positive_trait_2,condition_4-tribe_b-positive_trait_3,condition_4-tribe_b-positive_trait_4,condition_4-tribe_b-positive_trait_5,condition_4-tribe_b-positive_trait_6,condition_4-tribe_b-negative_trait_1,condition_4-tribe_b-negative_trait_2,condition_4-tribe_b-negative_trait_3,condition_4-tribe_b-negative_trait_4,condition_4-tribe_b-negative_trait_5,condition_4-tribe_b-negative_trait_6,condition_4-tribe_a-positive_trait_1,condition_4-tribe_a-positive_trait_2,condition_4-tribe_a-positive_trait_3,condition_4-tribe_a-positive_trait_4,condition_4-tribe_a-positive_trait_5,condition_4-tribe_a-positive_trait_6,condition_4-tribe_a-negative_trait_1,condition_4-tribe_a-negative_trait_2,condition_4-tribe_a-negative_trait_3,condition_4-tribe_a-negative_trait_4,condition_4-tribe_a-negative_trait_5,condition_4-tribe_a-negative_trait_6
100,161,1,2.0,,5.0,,35.0,1.0,pilut,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,Relaxed,,,Resentful,,Faithless,Choleric,,,,Likeable,,,Caring,Trustworthy,Resentful,,Faithless,Choleric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,130,1,2.0,,5.0,,35.0,1.0,pilut,1.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,,,Caring,Trustworthy,,Dumb,Faithless,,,Egoistic,,Likeable,,,Caring,Trustworthy,Resentful,,,Choleric,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,
100,205,1,2.0,,5.0,,18.0,1.0,pilut,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxed,Caring,Trustworthy,Resentful,,Faithless,,,Egoistic,Tolerant,Likeable,Funny,,,,Resentful,,Faithless,,,Egoistic
100,264,1,1.0,,5.0,,25.0,1.0,pilut,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxed,Caring,Trustworthy,,Dumb,Faithless,Choleric,,,Tolerant,Likeable,Funny,,,,,Dumb,Faithless,Choleric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,182,1,1.0,,5.0,,24.0,1.0,pilut,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,,Caring,,Resentful,,,Choleric,Withdrawn,,,Likeable,Funny,,Caring,,,Dumb,Faithless,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,
100,206,1,1.0,,4.0,,23.0,1.0,Pilut,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,Caring,,Resentful,,,,Withdrawn,Egoistic,,,Funny,Relaxed,,Trustworthy,Resentful,,,,Withdrawn,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,303,1,2.0,,4.0,,23.0,1.0,Pilut,0.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,,Relaxed,Caring,,Resentful,Dumb,,Choleric,,,Tolerant,,Funny,,,Trustworthy,Resentful,Dumb,,Choleric,,
100,150,1,2.0,,5.0,,43.0,1.0,pilut,0.0,2.0,,1.0,,,Funny,Relaxed,Caring,,,,Faithless,,Withdrawn,Egoistic,,,Funny,Relaxed,Caring,,Resentful,Dumb,,Choleric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,366,1,1.0,,5.0,,54.0,1.0,Pilut,0.0,2.0,,1.0,,Likeable,Funny,,,Trustworthy,Resentful,,,Choleric,,Egoistic,,Likeable,Funny,,,Trustworthy,,Dumb,Faithless,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,298,1,2.0,,5.0,,28.0,1.0,Pilut,0.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,,Trustworthy,,Dumb,Faithless,Choleric,,,,,Funny,Relaxed,Caring,,,Dumb,Faithless,Choleric,,
100,355,1,1.0,,5.0,,22.0,1.0,pilut,0.0,1.0,,1.0,Tolerant,,Funny,,Caring,,,Dumb,,Choleric,,Egoistic,Tolerant,,Funny,,Caring,,Resentful,,Faithless,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,382,1,1.0,,5.0,,23.0,1.0,pilut,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,Relaxed,,,,Dumb,,,Withdrawn,Egoistic,Tolerant,,,,Caring,Trustworthy,,Dumb,,,Withdrawn,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,169,1,2.0,,5.0,,24.0,1.0,pilut,1.0,1.0,,1.0,,Likeable,Funny,,,Trustworthy,,Dumb,Faithless,,Withdrawn,,,Likeable,Funny,,,Trustworthy,Resentful,,,Choleric,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,272,1,1.0,,5.0,,45.0,1.0,pilut,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,Relaxed,,,,,Faithless,Choleric,,Egoistic,Tolerant,Likeable,,Relaxed,,,Resentful,Dumb,,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,
100,267,1,1.0,,4.0,,27.0,1.0,Pilut,0.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxed,Caring,Trustworthy,,Dumb,Faithless,,Withdrawn,,Tolerant,Likeable,Funny,,,,,Dumb,Faithless,,Withdrawn,
100,379,1,1.0,,5.0,,35.0,1.0,pilut,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,Relaxed,,,,,Faithless,,Withdrawn,Egoistic,Tolerant,,,,Caring,Trustworthy,,,Faithless,,Withdrawn,Egoistic
100,202,1,2.0,,9.0,,24.0,1.0,pilut,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxed,Caring,Trustworthy,,,Faithless,Choleric,,Egoistic,Tolerant,Likeable,Funny,,,,,,Faithless,Choleric,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,156,1,2.0,,4.0,,28.0,1.0,pilut,1.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,Funny,,,,,Dumb,,Choleric,,Egoistic,,,,Relaxed,Caring,Trustworthy,,Dumb,,Choleric,,Egoistic
100,173,1,2.0,,4.0,,41.0,1.0,Pilut ,0.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,,Relaxed,,Trustworthy,Resentful,Dumb,,,,Egoistic,,Likeable,Funny,,Caring,,Resentful,Dumb,,,,Egoistic
100,456,1,1.0,,5.0,,28.0,1.0,Pilut,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,,Relaxed,,Trustworthy,,Dumb,,Choleric,Withdrawn,,Tolerant,,,Relaxed,,Trustworthy,Resentful,,Faithless,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,
100,320,1,2.0,,4.0,,35.0,1.0,pilut,0.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,,Caring,,Resentful,Dumb,,,Withdrawn,,Tolerant,,,Relaxed,,Trustworthy,Resentful,Dumb,,,Withdrawn,
100,381,1,2.0,,5.0,,23.0,1.0,pilut,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,,Relaxed,,Trustworthy,Resentful,Dumb,,,,Egoistic,Tolerant,,Funny,,Caring,,Resentful,Dumb,,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,126,1,2.0,,5.0,,20.0,1.0,pilut,1.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,,Caring,,,,Faithless,Choleric,Withdrawn,,,Likeable,Funny,,Caring,,Resentful,Dumb,,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,
100,182,1,2.0,,4.0,,21.0,1.0,pilut,1.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Funny,Relaxed,Caring,,Resentful,,,Choleric,,Egoistic,Tolerant,Likeable,,,,Trustworthy,Resentful,,,Choleric,,Egoistic
100,239,1,2.0,,5.0,,24.0,1.0,pilut,1.0,1.0,,1.0,Tolerant,,,,Caring,Trustworthy,Resentful,Dumb,Faithless,,,,Tolerant,,,,Caring,Trustworthy,,,,Choleric,Withdrawn,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,199,1,2.0,,5.0,,25.0,1.0,pilut,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,Relaxed,,,,Dumb,Faithless,,Withdrawn,,,Likeable,,,Caring,Trustworthy,,Dumb,Faithless,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,261,1,1.0,,4.0,,34.0,1.0,Pilut,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,,,Caring,Trustworthy,Resentful,Dumb,Faithless,,,,Tolerant,,Funny,Relaxed,,,Resentful,Dumb,Faithless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,314,1,1.0,,5.0,,51.0,1.0,pilut,0.0,1.0,,1.0,,,Funny,Relaxed,,Trustworthy,Resentful,,,Choleric,,Egoistic,,,Funny,Relaxed,,Trustworthy,,Dumb,Faithless,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,148,1,2.0,,4.0,,20.0,1.0,pilut,0.0,1.0,,1.0,,,Funny,Relaxed,Caring,,,Dumb,,Choleric,,Egoistic,,,Funny,Relaxed,Caring,,Resentful,,Faithless,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,321,1,2.0,,5.0,,41.0,1.0,pilut,1.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Funny,Relaxed,,Trustworthy,Resentful,Dumb,,,Withdrawn,,,,Funny,Relaxed,,Trustworthy,,,Faithless,Choleric,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,
100,157,1,1.0,,5.0,,21.0,1.0,pilut,0.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Funny,Relaxed,,Trustworthy,Resentful,,,Choleric,Withdrawn,,,,Funny,Relaxed,,Trustworthy,,Dumb,Faithless,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,
100,181,1,2.0,,4.0,,28.0,1.0,pilut,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,,Caring,,Resentful,,Faithless,Choleric,,,Tolerant,,,Relaxed,,Trustworthy,Resentful,,Faithless,Choleric,,
