"condition","tribe_preference","condition_rec","tribe_preference_rec"
2,0,"SN",0
3,1,"SP",0
4,1,"SN",0
2,0,"SN",0
3,1,"SP",0
2,0,"SN",0
4,0,"SN",1
1,1,"SP",1
1,0,"SP",0
1,0,"SP",0
4,0,"SN",1
1,0,"SP",0
2,1,"SN",1
1,1,"SP",1
3,1,"SP",0
4,0,"SN",1
4,1,"SN",0
2,1,"SN",1
4,1,"SN",0
4,0,"SN",1
3,1,"SP",0
3,1,"SP",0
4,0,"SN",1
2,1,"SN",1
3,1,"SP",0
4,1,"SN",0
1,1,"SP",1
2,1,"SN",1
3,0,"SP",1
2,0,"SN",0
1,0,"SP",0
1,0,"SP",0
3,1,"SP",0
3,0,"SP",1
4,1,"SN",0
2,0,"SN",0
3,1,"SP",0
2,0,"SN",0
1,1,"SP",1
1,0,"SP",0
3,1,"SP",0
1,0,"SP",0
3,0,"SP",1
1,1,"SP",1
2,1,"SN",1
2,1,"SN",1
4,1,"SN",0
2,0,"SN",0
4,0,"SN",1
1,0,"SP",0
1,0,"SP",0
3,1,"SP",0
1,1,"SP",1
4,0,"SN",1
4,1,"SN",0
1,0,"SP",0
4,0,"SN",1
3,0,"SP",1
2,1,"SN",1
4,1,"SN",0
2,1,"SN",1
3,0,"SP",1
1,0,"SP",0
2,0,"SN",0
1,0,"SP",0
1,0,"SP",0
4,0,"SN",1
1,0,"SP",0
3,1,"SP",0
4,0,"SN",1
4,0,"SN",1
2,1,"SN",1
2,1,"SN",1
3,0,"SP",1
4,0,"SN",1
3,0,"SP",1
4,0,"SN",1
2,1,"SN",1
2,1,"SN",1
4,1,"SN",0
3,1,"SP",0
1,0,"SP",0
1,0,"SP",0
3,0,"SP",1
3,1,"SP",0
4,0,"SN",1
2,0,"SN",0
4,1,"SN",0
2,1,"SN",1
3,1,"SP",0
3,1,"SP",0
2,1,"SN",1
1,0,"SP",0
2,1,"SN",1
4,1,"SN",0
2,0,"SN",0
3,0,"SP",1
1,0,"SP",0
3,0,"SP",1
3,1,"SP",0
2,0,"SN",0
4,1,"SN",0
2,1,"SN",1
4,1,"SN",0
1,0,"SP",0
3,1,"SP",0
4,1,"SN",0
1,0,"SP",0
3,1,"SP",0
4,0,"SN",1
4,0,"SN",1
1,0,"SP",0
3,1,"SP",0
4,1,"SN",0
4,0,"SN",1
2,1,"SN",1
1,0,"SP",0
1,0,"SP",0
2,1,"SN",1
3,1,"SP",0
1,0,"SP",0
3,0,"SP",1
3,0,"SP",1
4,1,"SN",0
2,1,"SN",1
2,1,"SN",1
3,0,"SP",1
4,0,"SN",1
3,0,"SP",1
4,1,"SN",0
4,0,"SN",1
1,0,"SP",0
1,0,"SP",0
3,1,"SP",0
4,1,"SN",0
3,1,"SP",0
1,0,"SP",0
4,0,"SN",1
4,0,"SN",1
1,0,"SP",0
1,0,"SP",0
4,1,"SN",0
3,1,"SP",0
4,0,"SN",1
3,1,"SP",0
2,0,"SN",0
1,0,"SP",0
3,1,"SP",0
4,0,"SN",1
2,0,"SN",0
3,0,"SP",1
3,1,"SP",0
1,0,"SP",0
4,1,"SN",0
3,1,"SP",0
3,1,"SP",0
2,1,"SN",1
3,1,"SP",0
3,1,"SP",0
2,0,"SN",0
1,0,"SP",0
3,1,"SP",0
3,1,"SP",0
1,0,"SP",0
1,1,"SP",1
4,0,"SN",1
2,0,"SN",0
2,1,"SN",1
4,1,"SN",0
1,1,"SP",1
2,1,"SN",1
3,1,"SP",0
1,0,"SP",0
1,1,"SP",1
4,0,"SN",1
2,0,"SN",0
2,1,"SN",1
1,1,"SP",1
3,1,"SP",0
2,0,"SN",0
4,0,"SN",1
4,0,"SN",1
2,0,"SN",0
3,1,"SP",0
3,1,"SP",0
1,0,"SP",0
2,1,"SN",1
4,0,"SN",1
3,0,"SP",1
1,0,"SP",0
1,0,"SP",0
4,1,"SN",0
4,0,"SN",1
4,0,"SN",1
2,1,"SN",1
1,1,"SP",1
2,0,"SN",0
4,1,"SN",0
2,1,"SN",1
3,1,"SP",0
4,1,"SN",0
4,0,"SN",1
2,0,"SN",0
1,1,"SP",1
1,0,"SP",0
3,0,"SP",1
2,1,"SN",1
1,0,"SP",0
2,0,"SN",0
2,1,"SN",1
4,0,"SN",1
2,0,"SN",0
2,0,"SN",0
3,1,"SP",0
2,0,"SN",0
4,0,"SN",1
1,1,"SP",1
3,1,"SP",0
1,0,"SP",0
3,0,"SP",1
2,1,"SN",1
3,1,"SP",0
3,0,"SP",1
1,0,"SP",0
1,0,"SP",0
1,1,"SP",1
2,1,"SN",1
3,1,"SP",0
1,1,"SP",1
4,0,"SN",1
1,1,"SP",1
2,0,"SN",0
3,1,"SP",0
3,1,"SP",0
1,1,"SP",1
4,1,"SN",0
1,0,"SP",0
4,1,"SN",0
1,1,"SP",1
1,0,"SP",0
1,0,"SP",0
3,1,"SP",0
3,1,"SP",0
4,0,"SN",1
2,0,"SN",0
4,1,"SN",0
4,1,"SN",0
4,0,"SN",1
1,1,"SP",1
2,0,"SN",0
3,1,"SP",0
2,1,"SN",1
1,0,"SP",0
2,1,"SN",1
3,1,"SP",0
2,1,"SN",1
4,1,"SN",0
2,0,"SN",0
1,1,"SP",1
2,0,"SN",0
1,0,"SP",0
4,0,"SN",1
3,1,"SP",0
3,0,"SP",1
4,0,"SN",1
1,1,"SP",1
2,1,"SN",1
2,1,"SN",1
3,0,"SP",1
1,0,"SP",0
3,1,"SP",0
1,1,"SP",1
4,1,"SN",0
2,1,"SN",1
2,0,"SN",0
1,0,"SP",0
1,1,"SP",1
4,0,"SN",1
3,1,"SP",0
3,1,"SP",0
1,0,"SP",0
4,1,"SN",0
3,1,"SP",0
4,1,"SN",0
1,0,"SP",0
3,1,"SP",0
2,1,"SN",1
2,1,"SN",1
3,1,"SP",0
2,0,"SN",0
4,0,"SN",1
1,0,"SP",0
2,0,"SN",0
3,0,"SP",1
3,0,"SP",1
2,1,"SN",1
3,1,"SP",0
4,0,"SN",1
1,0,"SP",0
2,0,"SN",0
2,0,"SN",0
2,0,"SN",0
2,1,"SN",1
1,0,"SP",0
4,1,"SN",0
2,0,"SN",0
3,1,"SP",0
4,0,"SN",1
4,0,"SN",1
3,1,"SP",0
4,0,"SN",1
2,1,"SN",1
4,1,"SN",0
1,0,"SP",0
2,1,"SN",1
2,1,"SN",1
3,1,"SP",0
3,0,"SP",1
1,0,"SP",0
2,1,"SN",1
4,0,"SN",1
3,0,"SP",1
4,0,"SN",1
1,1,"SP",1
1,0,"SP",0
3,1,"SP",0
1,1,"SP",1
4,1,"SN",0
1,0,"SP",0
3,0,"SP",1
1,0,"SP",0
1,0,"SP",0
2,0,"SN",0
3,0,"SP",1
3,0,"SP",1
2,0,"SN",0
2,1,"SN",1
1,0,"SP",0
2,0,"SN",0
4,1,"SN",0
4,0,"SN",1
2,1,"SN",1
4,1,"SN",0
4,0,"SN",1
4,1,"SN",0
2,1,"SN",1
2,1,"SN",1
2,1,"SN",1
4,1,"SN",0
1,1,"SP",1
3,0,"SP",1
3,1,"SP",0
4,0,"SN",1
1,1,"SP",1
1,1,"SP",1
2,1,"SN",1
3,1,"SP",0
1,0,"SP",0
4,0,"SN",1
3,1,"SP",0
2,1,"SN",1
